Country Code,Country,Clicks,Impressions,CTR %,Avg Position,Action Item
usa,United States,94,5852,1.6,5.9,Primary market. Focus on local SEO + GBP.
jpn,Japan,14,178,7.9,6.6,Strong JA content working. Expand JA blog posts. Target Yahoo Japan.
kor,South Korea,14,1216,1.2,4.5,KO content strong. Post on Naver blog. Target Korean tourist groups.
can,Canada,2,47,4.3,4.3,Secondary market. Monitor.
aut,Austria,1,3,33.3,5.7,Secondary market. Monitor.
hkg,Hong Kong,1,16,6.2,6.8,Secondary market. Monitor.
tha,Thailand,1,10,10.0,6.2,Secondary market. Monitor.
afg,Afghanistan,0,1,0,9,Secondary market. Monitor.
alb,Albania,0,1,0,10,Secondary market. Monitor.
are,UAE,0,2,0,6,Secondary market. Monitor.
arg,Argentina,0,6,0,7.3,Secondary market. Monitor.
aus,Australia,0,16,0,8,Secondary market. Monitor.
bra,Brazil,0,5,0,6.6,Secondary market. Monitor.
chn,China,0,16,0,8.4,"ZH getting impressions. Consider Baidu, Xiaohongshu presence."
cmr,Cameroon,0,1,0,6,Secondary market. Monitor.
col,Colombia,0,9,0,4.7,Secondary market. Monitor.
cri,CRI,0,3,0,3.3,Secondary market. Monitor.
deu,Germany,0,6,0,9.7,Secondary market. Monitor.
dnk,DNK,0,1,0,10,Secondary market. Monitor.
ecu,ECU,0,1,0,8,Secondary market. Monitor.
